"Point.Forecast","Lo.95","Hi.95"
64.5589968683494,18.4459592309305,128.341361146215
70.5548594233413,22.2239085840168,136.191362486982
6.32224049777897,-11.6037251983458,44.4720418355913
1.91594891555719,-18.9817525526596,34.4433825255352
91.0483972827668,35.416021582613,163.431466127454
95.9226164777648,38.2240504365597,170.604404250521
66.598505876487,18.2831383777299,133.913722984442
66.0475702261606,15.167687852638,139.145816044866
70.0428667640729,17.4244199100553,144.631303296745
6.97790582583851,-14.6177984361233,51.9873367032936
1.85974917977174,-23.6149383085237,39.7804124800953
91.8679014953565,30.7016256672071,173.980495698747
96.2862668581877,33.237731840424,180.379250101596
66.6595975607927,14.3859212325483,142.519965014688
66.6753045746727,12.0212135390163,148.196354140731
69.8062998860233,13.6093461562693,152.659374545225
7.24316810672047,-17.9728167449275,58.317953226545
1.81102018232331,-28.1039746788528,44.8432284820754
92.2510131753426,26.4266027756005,183.254352343319
96.3169094649209,28.6794044212311,189.158854314903
66.7257693093586,11.1124000834574,150.624775530483
66.8666983663329,9.1688039994667,156.201685754298
69.7162964056037,10.4767670577849,160.350045492672
7.34486705016706,-21.4785197901925,64.0387524484986
1.78409217398548,-32.4330754584773,49.7562373262069
92.4237072324758,22.5911711468625,191.710826257566
96.2858977601625,24.6363019789344,197.360383612929
66.7729375924605,8.34994070907827,158.273782464749
66.9160512098586,6.71774436103064,163.611893962374
69.6885839311942,7.86376370066918,167.703338886124
7.38167724411781,-25.0298509824044,69.403578983517
