"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
43.9711227395684,22.9771595348816,64.9650859442552,11.8636267322115,76.0786187469253
45.1331887973027,24.1392234992221,66.1271540953833,13.0256895883762,77.2406880062291
45.073727027148,24.0527484996333,66.0947055546628,12.9249146489193,77.2225394053768
45.0767696270815,24.0315243186845,66.1220149354785,12.8908444101433,77.2626948440197
45.076613940254,24.0069946765985,66.1462332039094,12.8534119755424,77.2998159049655
45.0766219065949,23.9826637668806,66.1705800463091,12.8161968431162,77.3370469700735
45.0766214989651,23.9583521803945,66.1948908175357,12.779015695935,77.3742273019952
45.0766215198231,23.9340689951268,66.2191740445194,12.7418777578414,77.4113652818047
45.0766215187558,23.9098136454253,66.2434293920863,12.7047824021793,77.4484606353323
45.0766215188104,23.8855860596492,66.2676569779716,12.6677295071829,77.485513530438
45.0766215188076,23.861386141455,66.2918568961602,12.6307189261319,77.5225241114833
45.0766215188078,23.8372137963331,66.3160292412824,12.5937505144546,77.5594925231609
45.0766215188078,23.8130689302454,66.3401741073701,12.5568241283334,77.5964189092821
45.0766215188078,23.7889514496904,66.3642915879252,12.5199396247702,77.6333034128453
45.0766215188078,23.7648612616953,66.3883817759202,12.4830968615756,77.6701461760399
45.0766215188078,23.7407982738125,66.412444763803,12.4462956973629,77.7069473402527
45.0766215188078,23.716762394115,66.4364806435005,12.4095359915419,77.7437070460736
45.0766215188078,23.6927535311924,66.4604895064231,12.3728176043125,77.780425433303
45.0766215188078,23.6687715941469,66.4844714434686,12.3361403966586,77.8171026409569
45.0766215188078,23.6448164925893,66.5084265450262,12.2995042303417,77.8537388072738
45.0766215188078,23.620888136635,66.5323549009805,12.2629089678953,77.8903340697202
45.0766215188078,23.5969864369,66.5562566007155,12.2263544726183,77.9268885649972
45.0766215188078,23.5731113044971,66.5801317331184,12.1898406085695,77.963402429046
45.0766215188078,23.549262651032,66.6039803865836,12.1533672405615,77.999875797054
45.0766215188078,23.5254403885995,66.627802649016,12.1169342341548,78.0363088034607
45.0766215188078,23.5016444297797,66.6515986078359,12.0805414556523,78.0727015819632
45.0766215188078,23.4778746876342,66.6753683499813,12.0441887720933,78.1090542655222
45.0766215188078,23.4541310757027,66.6991119619128,12.0078760512478,78.1453669863677
45.0766215188078,23.4304135079988,66.7228295296167,11.9716031616112,78.1816398760043
45.0766215188078,23.4067218990068,66.7465211386087,11.9353699723986,78.217873065217
45.0766215188078,23.3830561636779,66.7701868739376,11.8991763535389,78.2540666840766
45.0766215188078,23.3594162174267,66.7938268201888,11.8630221756701,78.2902208619454
45.0766215188078,23.3358019761278,66.8174410614877,11.8269073101334,78.3263357274821
45.0766215188078,23.3122133561121,66.8410296815034,11.7908316289678,78.3624114086478
45.0766215188078,23.2886502741633,66.8645927634523,11.7547950049051,78.3984480327104
45.0766215188078,23.2651126475147,66.8881303901008,11.7187973113647,78.4344457262509
45.0766215188078,23.2416003938457,66.9116426437698,11.6828384224479,78.4704046151676
45.0766215188078,23.2181134312786,66.9351296063369,11.6469182129335,78.506324824682
45.0766215188078,23.1946516783748,66.9585913592407,11.6110365582721,78.5422064793434
45.0766215188078,23.171215054132,66.9820279834835,11.5751933345813,78.5780497030342
45.0766215188078,23.1478034779807,67.0054395596348,11.5393884186408,78.6138546189747
45.0766215188078,23.1244168697812,67.0288261678343,11.5036216878873,78.6496213497282
45.0766215188078,23.1010551498201,67.0521878877954,11.4678930204097,78.6853500172058
45.0766215188078,23.0777182388071,67.0755247988084,11.4322022949441,78.7210407426714
45.0766215188078,23.0544060578723,67.0988369797432,11.3965493908693,78.7566936467462
45.0766215188078,23.0311185285627,67.1221245090528,11.3609341882017,78.7923088494138
45.0766215188078,23.0078555728391,67.1453874647764,11.3253565675909,78.8278864700246
45.0766215188078,22.9846171130734,67.1686259245421,11.2898164103147,78.8634266273008
45.0766215188078,22.9614030720452,67.1918399655703,11.2543135982749,78.8989294393406
45.0766215188078,22.938213372939,67.2150296646765,11.2188480139922,78.9343950236234
45.0766215188078,22.9150479393412,67.2381950982743,11.1834195406021,78.9698234970134
45.0766215188078,22.8919066952372,67.2613363423783,11.1480280618503,79.0052149757652
45.0766215188078,22.8687895650084,67.2844534726071,11.1126734620882,79.0405695755273
45.0766215188078,22.8456964734294,67.3075465641862,11.0773556262683,79.0758874113472
45.0766215188078,22.822627345665,67.3306156919506,11.0420744399402,79.1111685976753
45.0766215188078,22.7995821072676,67.3536609303479,11.0068297892462,79.1464132483693
45.0766215188078,22.7765606841743,67.3766823534413,10.9716215609167,79.1816214766988
45.0766215188078,22.7535630027039,67.3996800349116,10.9364496422661,79.2167933953494
45.0766215188078,22.7305889895547,67.4226540480608,10.9013139211891,79.2519291164265
45.0766215188078,22.707638571801,67.4456044658145,10.8662142861555,79.28702875146
45.0766215188078,22.6847116768912,67.4685313607243,10.8311506262071,79.3220924114084
45.0766215188078,22.6618082326445,67.491434804971,10.7961228309531,79.3571202066624
45.0766215188078,22.6389281672486,67.5143148703669,10.7611307905658,79.3921122470497
45.0766215188078,22.616071409257,67.5371716283585,10.7261743957773,79.4270686418382
45.0766215188078,22.5932378875862,67.5600051500293,10.6912535378749,79.4619894997406
45.0766215188078,22.5704275315134,67.5828155061021,10.6563681086974,79.4968749289181
45.0766215188078,22.547640270674,67.6056027669415,10.6215180006312,79.5317250369843
45.0766215188078,22.5248760350585,67.628367002557,10.5867031066063,79.5665399310092
45.0766215188078,22.5021347550108,67.6511082826048,10.5519233200926,79.6013197175229
