"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
85.2367688022284,78.6695920816984,91.8039455227584,75.193138722561,95.2803988818958
85.4735376044568,76.1732211308762,94.7738540780374,71.2499309832934,99.6971442256203
85.7103064066852,74.3039823147504,97.11663049862,68.2658390772076,103.154773736163
85.9470752089136,72.7579570267469,99.1361933910804,65.7760596057263,106.118090812101
86.1838440111421,71.4176084073233,100.950079614961,63.6008354543079,108.766852567976
86.4206128133705,70.2227470359533,102.618478590788,61.6481148478591,111.193110778882
86.6573816155989,69.1376708893804,104.177092341817,59.8632962536446,113.451466977553
86.8941504178273,68.1391527247073,105.649148110947,58.2108566691079,115.577444166547
87.1309192200557,67.2110828914381,107.050755548673,56.6661585099146,117.595679930197
87.3676880222841,66.3417495985109,108.393626446057,55.2112901373188,119.524085907249
87.6044568245125,65.5223246767079,109.686588972317,53.832750031615,121.37616361741
87.841225626741,64.7459598751346,110.936491378347,52.5200646968693,123.162386556613
88.0779944289694,64.0072174071748,112.148771450764,51.2649177561137,124.891071101825
88.3147632311978,63.3016950651372,113.327831397258,50.0605766136731,126.568949848722
88.5515320334262,62.6257703651849,114.477293701667,48.9015011586026,128.20156290825
88.7883008356546,61.9764205690952,115.600181102214,47.7830685117214,129.793533159588
89.025069637883,61.3510927800189,116.699046495747,46.7013743542218,131.348764921544
89.2618384401114,60.7476080773207,117.776068802902,45.6530863145589,132.870590565664
89.4986072423398,60.1640893907302,118.833125093949,44.6353336614835,134.361880823196
89.7353760445682,59.5989063053648,119.871845783772,43.6456228906096,135.825129198527
89.9721448467967,59.0506321824903,120.893657511103,42.6817721462762,137.262517547317
90.2089136490251,58.5180103973472,121.899816900703,41.7418595867589,138.675967711291
90.4456824512535,57.9999274328081,122.891437469699,40.8241822345699,140.067182667937
90.6824512534819,57.4953912017367,123.869511305227,39.9272228233662,141.437679683598
90.9192200557103,57.0035134083363,124.834926703084,39.0496228219614,142.788817289459
91.1559888579387,56.5234950659125,125.788482649965,38.1901602856541,144.121817430223
91.3927576601671,56.0546145076167,126.730900812718,37.3477315202423,145.437783800092
91.6295264623955,55.5962173854182,127.662835539373,36.521335786772,146.737717138019
91.866295264624,55.1477082689998,128.584882260248,35.7100624531559,148.022528076092
92.1030640668524,54.7085435427853,129.497584590919,34.9130801311147,149.29304800259
92.3398328690808,54.2782253643269,130.401440373835,34.1296274363281,150.550038301833
