"Point.Forecast","Lo.95","Hi.95"
85.8920374821699,31.5419575897917,192.748263325382
99.7505732420085,37.8731435208356,219.017840866157
74.592409440615,25.8454157385124,173.762536205441
3.93827778616318,0.321232163886171,18.7226393593691
99.6565738338928,37.3608933690905,220.640915551712
78.9559698741686,27.779515818709,182.141234517231
85.2441023663879,30.63995909162,193.967440824277
86.4266808666238,28.1806457037724,209.159406225271
99.7701516794582,33.9221365522828,235.210605858655
74.5181257831436,23.1174261226517,185.944692263191
3.93717707052313,0.233230905073801,21.0074329158552
99.6699048592343,33.8044126529571,235.340603002962
78.9588659230526,24.9468774088699,194.837834926508
85.2425503880713,27.5829489185313,207.272901631699
86.426022833045,25.5101455287634,222.227508759011
99.7703514814016,30.8443213914769,249.481471168535
74.5182359272822,20.8305197474973,197.873273960988
3.93717561153023,0.169519896065966,23.3087970709218
99.6698812460242,30.7393295645227,249.594346717112
78.9588661034208,22.5218178350464,207.193867636912
85.242553732652,24.962602762612,220.220913435824
86.4260231601014,23.1958486742337,234.98017291068
99.7703509220001,28.1673220797095,263.391236390682
74.5182358335534,18.8547830922442,209.529032417298
3.93717561803196,0.122910999223575,25.6264962090502
99.6698812726487,28.0730529032337,263.488485295963
78.9588660956512,20.4237271232182,219.261640197552
85.2425537280321,22.6913691754359,232.858656238341
86.4260231609274,21.1670298784733,247.48625778808
99.7703509229237,25.8126972886746,277.017796871781
74.5182358335147,17.1283261309642,220.974130938046
